account_id,frst_name,last_name,password,balance_checking,balance_savings,minimum_savings,overdraft_count,is_active
10001,suresh,sigera,juagw362,1100.0,10400.0,0.0,0,True
10002,james,taylor,idh36%@#FGd,10000.0,10000.0,0.0,0,True
10003,melvin,gordon,uYWE732g4ga1,2000.0,20000.0,0.0,0,True
10004,stacey,abrams,DEU8_qw3y72$,2000.0,20000.0,0.0,0,True
10005,jake,paul,d^dg23g)@,100000.0,100000.0,0.0,0,True
64481,Aqilah,Alkhalaf,pppp,1380.0,250.0,200.0,0,True
61879,Osama,Ahmed,oooo,-5.0,0.0,0.0,3,False
79129,Mohammed,Rada,Okiuy,0.0,700.0,100.0,0,True
77995,Mohammed,Nasser,12345,0.0,0.0,0.0,0,True
47562,Reem,Faisal,G201342,0.0,0.0,0.0,0,True
